delete from product;

delete from category;

INSERT INTO category (categoryID, categoryName, description) VALUES
('e6dc7c31-c0c4-422f-9018-f4ad73228626', 'men''s clothes T-shirt', 'T-shirt for men'),
('80f068cd-da77-43e4-8384-dc6825a56000', 'men''s clothes Jersey', 'Jersey for men'),
('f12e9b94-3a00-46c7-bad3-70b2c4ba1f82', 'men''s clothes Hoodie', 'Hoodie for men'),
('ccb4b22b-eb38-4d69-9889-4e5501792fd6', 'men''s clothes Shorts', 'Shorts for men'),
('dc86d26f-9e4e-4d53-9a83-ca4de464f285', 'men''s clothes Trousers', 'Trousers for men'),
('014816fc-4c84-40b5-8a36-9d5d0c078235', 'wm''s clothes T-shirt', 'T-shirt for women'),
('dfb1a6d6-a5be-46c8-b088-0e77b2bff594', 'wm''s clothes Jersey', 'Jersey for women'),
('2687f23f-b4eb-4302-9097-9ce924cc1211', 'wm''s clothes Hoodie', 'Hoodie for women'),
('0b1d49b8-4f22-4c3d-a9f3-1781326afaed', 'wm''s clothes Shorts', 'Shorts for women'),
('61c5c4d4-e28f-4ed9-8141-07e19be82ac4', 'wm''s clothes Trousers', 'Trousers for women'),
('a6530b97-47b9-40b2-95b7-7583f33be315', 'kid''s clothes T-shirt', 'T-shirt for kids'),
('867abc16-c1e9-49c5-8ae3-2df722b390ee', 'kid''s clothes Jersey', 'Jersey for kids'),
('037ce04f-b291-45bf-8479-3bedaf276888', 'kid''s clothes Hoodie', 'Hoodie for kids'),
('9c6671d2-b748-40ff-a412-db44951df581', 'kid''s clothes Shorts', 'Shorts for kids'),
('4dd9854e-1a88-43e8-a2cc-0a201e8d3f27', 'kid''s clothes Trousers', 'Trousers for kids'),
('eefb4ee1-19e4-41af-bf54-41c68ff4a27e', 'men''s Shoes', 'Shoes for men'),
('e74124a9-e82d-44ff-b8e2-1ed78ccee264', 'wm''s Shoes', 'Shoes for women'),
('aea61a5a-4f39-4e46-85f9-aee374eb3716', 'kid''s Shoes', 'Shoes for kids'),
('32974795-e5a8-4df7-b900-a6a320309909', 'Ball', 'Basketball'),
('ba1e6e65-2faa-4541-aca0-976bd8d20918', 'Band''s accessories', 'Wristband'),
('d4954e1a-eeb1-4b4b-ac77-0f9f5e347689', 'Water-bottle''s accessories', 'Water bottle'),
('23919e53-14fd-47d3-bb2c-70e1a4336811', 'Backpack''s accessories', 'Backpack'),
('cb24f094-44df-41a5-8b83-aed2cde9c7a5', 'Tool''s accessories', 'Sports tool');





INSERT INTO product (productID, categoryID, productName, description, brand, price, stock, dateAdded, size) VALUES
('9a67dc75-6cd7-4bda-b96a-ce639a407db4', 'f12e9b94-3a00-46c7-bad3-70b2c4ba1f82', 'Adidas Essentials Hoodie', 'Cozy men''s hoodie', 'Adidas', 41.99, 80, '2024-03-22', 'L'),
('9d2a2fe5-3db0-470d-9e0a-6028200c60fa', 'f12e9b94-3a00-46c7-bad3-70b2c4ba1f82', 'Puma Big Logo Hoodie', 'Stylish men''s hoodie', 'Puma', 42.99, 60, '2024-02-28', 'S'),
('5a0854b5-589f-4232-8422-ab53b0315609', 'f12e9b94-3a00-46c7-bad3-70b2c4ba1f82', 'Under Armour Rival Hoodie', 'Casual men''s hoodie', 'Under Armour', 38.99, 90, '2024-01-05', 'M'),
('5ee788fa-4c10-4c86-9d5f-0cf8c6a4a29a', 'f12e9b94-3a00-46c7-bad3-70b2c4ba1f82', 'Reebok Classics Hoodie', 'Elegant men''s hoodie', 'Reebok', 40.99, 50, '2024-05-01', 'L'),

('dce4f957-4832-4e13-ad99-782642b7f794', 'ccb4b22b-eb38-4d69-9889-4e5501792fd6', 'Nike Flex Shorts', 'Comfortable men''s shorts', 'Nike', 24.99, 100, '2024-06-17', 'M'),
('cebd0415-ef11-4a97-a5c9-32e3f729a33b', 'ccb4b22b-eb38-4d69-9889-4e5501792fd6', 'Adidas 4KRFT Shorts', 'Stylish men''s shorts', 'Adidas', 25.99, 80, '2024-07-02', 'L'),
('5005a75d-cc5d-451f-b42c-b584b1008205', 'ccb4b22b-eb38-4d69-9889-4e5501792fd6', 'Puma Active Shorts', 'Casual men''s shorts', 'Puma', 23.99, 60, '2024-07-12', 'S'),
('7ffe74a5-ebcc-43a7-97c9-b471870a672b', 'ccb4b22b-eb38-4d69-9889-4e5501792fd6', 'Under Armour Launch Shorts', 'Sporty men''s shorts', 'Under Armour', 22.99, 90, '2024-06-21', 'M'),
('c2f1fa08-f699-4d0c-b5cd-7b27c07fee3e', 'ccb4b22b-eb38-4d69-9889-4e5501792fd6', 'Reebok Speed Shorts', 'Elegant men''s shorts', 'Reebok', 26.99, 50, '2024-04-19', 'L'),

('a16a3409-5966-4537-8b42-193fd6070547', 'dc86d26f-9e4e-4d53-9a83-ca4de464f285', 'Nike Tech Fleece Joggers', 'Comfortable men''s trousers', 'Nike', 34.99, 100, '2024-03-12', 'M'),
('ffbd927c-e0c5-4973-8a6e-6dffcddc1b44', 'dc86d26f-9e4e-4d53-9a83-ca4de464f285', 'Adidas Tiro 19 Pants', 'Stylish men''s trousers', 'Adidas', 35.99, 80, '2024-01-30', 'L'),
('eda7e9a4-1cac-465d-a136-2111d5190ff1', 'dc86d26f-9e4e-4d53-9a83-ca4de464f285', 'Puma Evostripe Pants', 'Casual men''s trousers', 'Puma', 33.99, 60, '2024-02-25', 'S'),
('789d977e-dd80-4bef-8ebf-ae51b97ff57a', 'dc86d26f-9e4e-4d53-9a83-ca4de464f285', 'Under Armour Threadborne Pants', 'Formal men''s trousers', 'Under Armour', 32.99, 90, '2024-07-01', 'M'),
('7f25afa5-b53b-40cf-a7af-072743fd9592', 'dc86d26f-9e4e-4d53-9a83-ca4de464f285', 'Reebok Workout Ready Joggers', 'Elegant men''s trousers', 'Reebok', 36.99, 50, '2024-06-05', 'L'),

('4cd34642-e9e1-4273-80db-974988e4f87d', '014816fc-4c84-40b5-8a36-9d5d0c078235', 'Nike Dri-FIT Women''s T-shirt', 'Comfortable women''s T-shirt', 'Nike', 19.99, 100, '2024-05-19', 'M'),
('39b8cc8f-3b60-43a9-bb91-c7412f4880ca', '014816fc-4c84-40b5-8a36-9d5d0c078235', 'Adidas Badge of Sport Women''s T-shirt', 'Soft women''s T-shirt', 'Adidas', 21.99, 80, '2024-03-22', 'L'),
('b6a40252-a981-4f33-a85a-c0b2f4fb78fa', '014816fc-4c84-40b5-8a36-9d5d0c078235', 'Puma Essentials Women''s T-shirt', 'Stylish women''s T-shirt', 'Puma', 22.99, 60, '2024-02-24', 'S'),
('27abc067-a0e9-4d30-a0d2-9568ef8f8d69', '014816fc-4c84-40b5-8a36-9d5d0c078235', 'Under Armour Tech Women''s T-shirt', 'Casual women''s T-shirt', 'Under Armour', 18.99, 90, '2024-06-21', 'M'),
('24c68852-11cf-4331-9110-bce1e5f2f9d9', '014816fc-4c84-40b5-8a36-9d5d0c078235', 'Reebok Les Mills Women''s T-shirt', 'Elegant women''s T-shirt', 'Reebok', 20.99, 50, '2024-04-20', 'L'),

('9308094a-0ae5-481e-ae69-1c9c6044a0ca', 'dfb1a6d6-a5be-46c8-b088-0e77b2bff594', 'Nike Pro Women''s Jersey', 'Sporty women''s jersey', 'Nike', 29.99, 100, '2024-05-15', 'M'),
('674e4519-96b3-482b-94c3-d78fc66db073', 'dfb1a6d6-a5be-46c8-b088-0e77b2bff594', 'Adidas Condivo 20 Women''s Jersey', 'Cool women''s jersey', 'Adidas', 31.99, 80, '2024-07-10', 'L'),
('f87b74be-7147-4379-abff-dcb87acbc65b', 'dfb1a6d6-a5be-46c8-b088-0e77b2bff594', 'Puma Liga Women''s Jersey', 'Comfortable women''s jersey', 'Puma', 30.99, 60, '2024-02-28', 'S'),
('b28e3529-ed10-4cbb-8495-dab2404218c6', 'dfb1a6d6-a5be-46c8-b088-0e77b2bff594', 'Under Armour Challenger Women''s Jersey', 'Athletic women''s jersey', 'Under Armour', 28.99, 90, '2024-03-03', 'M'),
('a3a074c2-cd37-486f-8235-9238e02dcfd8', 'dfb1a6d6-a5be-46c8-b088-0e77b2bff594', 'Reebok Crossfit Women''s Jersey', 'Durable women''s jersey', 'Reebok', 32.99, 50, '2024-01-12', 'L'),

('96773a76-0e41-4454-985b-7eed3fef9fd0', '2687f23f-b4eb-4302-9097-9ce924cc1211', 'Nike Therma Women''s Hoodie', 'Warm women''s hoodie', 'Nike', 39.99, 100, '2024-07-02', 'M'),
('3e5844ae-308b-4235-8d50-8805301c58aa', '2687f23f-b4eb-4302-9097-9ce924cc1211', 'Adidas Essentials Women''s Hoodie', 'Cozy women''s hoodie', 'Adidas', 41.99, 80, '2024-06-15', 'L'),
('6cadcfe9-f759-4089-b2a3-6c3d011977c0', '2687f23f-b4eb-4302-9097-9ce924cc1211', 'Puma Big Logo Women''s Hoodie', 'Stylish women''s hoodie', 'Puma', 42.99, 60, '2024-04-14', 'S'),
('c38d9763-32d1-4899-8dad-73e8400cfdf7', '2687f23f-b4eb-4302-9097-9ce924cc1211', 'Under Armour Rival Women''s Hoodie', 'Casual women''s hoodie', 'Under Armour', 38.99, 90, '2024-03-18', 'M'),
('f0eb99e1-0f6b-434c-9da1-340d9c944a13', '2687f23f-b4eb-4302-9097-9ce924cc1211', 'Reebok Classics Women''s Hoodie', 'Elegant women''s hoodie', 'Reebok', 40.99, 50, '2024-02-27', 'L'),

('4edb25f0-6394-49c6-9da6-85ae4e97ea6e', '0b1d49b8-4f22-4c3d-a9f3-1781326afaed', 'Nike Flex Women''s Shorts', 'Comfortable women''s shorts', 'Nike', 24.99, 100, '2024-05-20', 'M'),
('38f44c3f-0fe5-42da-a208-2fe5471cb7aa', '0b1d49b8-4f22-4c3d-a9f3-1781326afaed', 'Adidas 4KRFT Women''s Shorts', 'Stylish women''s shorts', 'Adidas', 25.99, 80, '2024-06-05', 'L'),
('878ee818-4cc5-4832-b766-a6597d7eddd3', '0b1d49b8-4f22-4c3d-a9f3-1781326afaed', 'Puma Active Women''s Shorts', 'Casual women''s shorts', 'Puma', 23.99, 60, '2024-03-12', 'S'),
('2b10a6c1-ea45-4c8f-9a1e-f9583444285d', '0b1d49b8-4f22-4c3d-a9f3-1781326afaed', 'Under Armour Launch Women''s Shorts', 'Sporty women''s shorts', 'Under Armour', 22.99, 90, '2024-01-25', 'M'),
('b120e91a-37ac-4104-95a5-223ff114852a', '0b1d49b8-4f22-4c3d-a9f3-1781326afaed', 'Reebok Speed Women''s Shorts', 'Elegant women''s shorts', 'Reebok', 26.99, 50, '2024-02-17', 'L'),

('88a32ad2-5e66-4e8e-82fa-5c953c970828', '61c5c4d4-e28f-4ed9-8141-07e19be82ac4', 'Nike Tech Fleece Women''s Joggers', 'Comfortable women''s trousers', 'Nike', 34.99, 100, '2024-07-07', 'M'),
('2e14a5cb-7a37-49de-8d32-04816b52108f', '61c5c4d4-e28f-4ed9-8141-07e19be82ac4', 'Adidas Tiro 19 Women''s Pants', 'Stylish women''s trousers', 'Adidas', 35.99, 80, '2024-06-23', 'L'),
('234dbb5b-9883-4859-aab0-0d9972e635cf', '61c5c4d4-e28f-4ed9-8141-07e19be82ac4', 'Puma Evostripe Women''s Pants', 'Casual women''s trousers', 'Puma', 33.99, 60, '2024-02-16', 'S'),
('c98d73c1-8d33-46d9-98dc-8e3c6e090827', '61c5c4d4-e28f-4ed9-8141-07e19be82ac4', 'Under Armour Threadborne Women''s Pants', 'Formal women''s trousers', 'Under Armour', 32.99, 90, '2024-01-22', 'M'),
('ad9a5f95-dee5-47a7-aea6-44ec72d099a9', '61c5c4d4-e28f-4ed9-8141-07e19be82ac4', 'Reebok Workout Ready Women''s Joggers', 'Elegant women''s trousers', 'Reebok', 36.99, 50, '2024-03-27', 'L'),

('c2e04fae-ad98-4b26-92c5-48687596a9b6', 'a6530b97-47b9-40b2-95b7-7583f33be315', 'Nike Dri-FIT Kids'' T-shirt', 'Comfortable kids'' T-shirt', 'Nike', 14.99, 100, '2024-05-30', 'M'),
('15b33bb8-d39c-4933-81e4-059b080f485b', 'a6530b97-47b9-40b2-95b7-7583f33be315', 'Adidas Badge of Sport Kids'' T-shirt', 'Soft kids'' T-shirt', 'Adidas', 15.99, 80, '2024-06-01', 'L'),
('df577be9-0084-4bd7-a641-9eae323981c8', 'a6530b97-47b9-40b2-95b7-7583f33be315', 'Puma Essentials Kids'' T-shirt', 'Stylish kids'' T-shirt', 'Puma', 16.99, 60, '2024-01-18', 'S'),
('08dfb320-b8d3-4f70-8794-e91b13f77ad9', 'a6530b97-47b9-40b2-95b7-7583f33be315', 'Under Armour Tech Kids'' T-shirt', 'Casual kids'' T-shirt', 'Under Armour', 13.99, 90, '2024-02-20', 'M'),
('f92a90ce-8cae-4a2f-a770-6fa4b975a1b8', 'a6530b97-47b9-40b2-95b7-7583f33be315', 'Reebok Les Mills Kids'' T-shirt', 'Elegant kids'' T-shirt', 'Reebok', 17.99, 50, '2024-03-12', 'L'),

('cc3a8dc8-4187-49ed-96a6-faa5f3002013', '867abc16-c1e9-49c5-8ae3-2df722b390ee', 'Nike Pro Kids'' Jersey', 'Sporty kids'' jersey', 'Nike', 24.99, 100, '2024-04-02', 'M'),
('abc6bb36-2203-4742-9b4e-02904a803ae3', '867abc16-c1e9-49c5-8ae3-2df722b390ee', 'Adidas Condivo 20 Kids'' Jersey', 'Cool kids'' jersey', 'Adidas', 25.99, 80, '2024-07-12', 'L'),
('3184f4e0-9a95-4ee9-9b9c-e8fdd0c12738', '867abc16-c1e9-49c5-8ae3-2df722b390ee', 'Puma Liga Kids'' Jersey', 'Comfortable kids'' jersey', 'Puma', 26.99, 60, '2024-01-22', 'S'),
('44866d8b-e37d-4b48-8ef6-1a34ee805370', '867abc16-c1e9-49c5-8ae3-2df722b390ee', 'Under Armour Challenger Kids'' Jersey', 'Athletic kids'' jersey', 'Under Armour', 23.99, 90, '2024-02-25', 'M'),
('fe6bc580-3781-440f-9048-7b30119a7a9a', '867abc16-c1e9-49c5-8ae3-2df722b390ee', 'Reebok Crossfit Kids'' Jersey', 'Durable kids'' jersey', 'Reebok', 27.99, 50, '2024-03-28', 'L'),

('7cc445e8-314a-4fec-b5ee-827f645c0466', '037ce04f-b291-45bf-8479-3bedaf276888', 'Nike Therma Kids'' Hoodie', 'Warm kids'' hoodie', 'Nike', 29.99, 100, '2024-05-02', 'M'),
('f22c3fed-3365-499f-90e9-4c8d7a2545b9', '037ce04f-b291-45bf-8479-3bedaf276888', 'Adidas Essentials Kids'' Hoodie', 'Cozy kids'' hoodie', 'Adidas', 31.99, 80, '2024-07-01', 'L'),
('b82b430a-6758-4613-8c72-ac72412076db', '037ce04f-b291-45bf-8479-3bedaf276888', 'Puma Big Logo Kids'' Hoodie', 'Stylish kids'' hoodie', 'Puma', 32.99, 60, '2024-04-18', 'S'),
('8d8abe7d-1a6c-41bb-b2e6-db1c900c57ae', '037ce04f-b291-45bf-8479-3bedaf276888', 'Under Armour Rival Kids'' Hoodie', 'Casual kids'' hoodie', 'Under Armour', 28.99, 90, '2024-01-30', 'M'),
('d83b03d1-9760-47b7-948f-20fc05d1602a', '037ce04f-b291-45bf-8479-3bedaf276888', 'Reebok Classics Kids'' Hoodie', 'Elegant kids'' hoodie', 'Reebok', 30.99, 50, '2024-06-05', 'L'),

('4639f978-fd89-4de3-88cc-51194cea4dd5', '9c6671d2-b748-40ff-a412-db44951df581', 'Nike Flex Kids'' Shorts', 'Comfortable kids'' shorts', 'Nike', 19.99, 100, '2024-06-06', 'M'),
('60d8da80-7d29-41ce-bd4d-c27374492cae', '9c6671d2-b748-40ff-a412-db44951df581', 'Adidas 4KRFT Kids'' Shorts', 'Stylish kids'' shorts', 'Adidas', 20.99, 80, '2024-05-10', 'L'),
('9ae36f26-459c-4144-9e93-37cce5e08af7', '9c6671d2-b748-40ff-a412-db44951df581', 'Puma Active Kids'' Shorts', 'Casual kids'' shorts', 'Puma', 21.99, 60, '2024-07-14', 'S'),
('e89698a4-6de4-4817-8fde-ef14f4f389d9', '9c6671d2-b748-40ff-a412-db44951df581', 'Under Armour Launch Kids'' Shorts', 'Sporty kids'' shorts', 'Under Armour', 18.99, 90, '2024-03-18', 'M'),
('90949c88-2c8f-4cf1-aa06-d1ceb887a0e0', '9c6671d2-b748-40ff-a412-db44951df581', 'Reebok Speed Kids'' Shorts', 'Elegant kids'' shorts', 'Reebok', 22.99, 50, '2024-04-14', 'L'),

('951ef1b2-2b89-4db2-87f9-771cae4eb8f5', '4dd9854e-1a88-43e8-a2cc-0a201e8d3f27', 'Nike Tech Fleece Kids'' Joggers', 'Comfortable kids'' trousers', 'Nike', 24.99, 100, '2024-03-02', 'M'),
('1444119e-93f3-42ae-b64e-50ded75b0672', '4dd9854e-1a88-43e8-a2cc-0a201e8d3f27', 'Adidas Tiro 19 Kids'' Pants', 'Stylish kids'' trousers', 'Adidas', 25.99, 80, '2024-04-28', 'L'),
('102b4f1f-dbf0-49f4-a11f-7b92ecf97748', '4dd9854e-1a88-43e8-a2cc-0a201e8d3f27', 'Puma Evostripe Kids'' Pants', 'Casual kids'' trousers', 'Puma', 26.99, 60, '2024-02-10', 'S'),
('392a9d9c-ddb6-4dbc-81c3-4bd139482f9b', '4dd9854e-1a88-43e8-a2cc-0a201e8d3f27', 'Under Armour Threadborne Kids'' Pants', 'Formal kids'' trousers', 'Under Armour', 23.99, 90, '2024-05-30', 'M'),
('49370a9a-c966-432d-bb18-9e7718cf9e03', '4dd9854e-1a88-43e8-a2cc-0a201e8d3f27', 'Reebok Workout Ready Kids'' Joggers', 'Elegant kids'' trousers', 'Reebok', 27.99, 50, '2024-06-19', 'L'),

('e6aa1308-7c2c-4263-a9a8-388b7d2b203b', 'eefb4ee1-19e4-41af-bf54-41c68ff4a27e', 'Nike Air Zoom Pegasus', 'Comfortable men''s shoes', 'Nike', 44.99, 100, '2024-02-18', '30'),
('7e447892-ea7d-4310-a0f8-d3fb01e3fae0', 'eefb4ee1-19e4-41af-bf54-41c68ff4a27e', 'Adidas Ultraboost', 'Stylish men''s shoes', 'Adidas', 45.99, 80, '2024-04-15', '31'),
('2f1c2f91-ae13-481d-ab21-8a9d8c5eae87', 'eefb4ee1-19e4-41af-bf54-41c68ff4a27e', 'Puma Ignite', 'Casual men''s shoes', 'Puma', 43.99, 60, '2024-03-25', '32'),
('556c71cf-9380-490f-9877-44382cb4586a', 'eefb4ee1-19e4-41af-bf54-41c68ff4a27e', 'Under Armour HOVR', 'Sporty men''s shoes', 'Under Armour', 42.99, 90, '2024-07-07', '33'),
('11ec4344-bae7-4061-8c96-7f99788a8c81', 'eefb4ee1-19e4-41af-bf54-41c68ff4a27e', 'Reebok Nano X1', 'Elegant men''s shoes', 'Reebok', 46.99, 50, '2024-06-17', '34'),

('3c6497df-17c5-4738-bf93-ada7645f67e6', 'e74124a9-e82d-44ff-b8e2-1ed78ccee264', 'Nike Air Max', 'Comfortable women''s shoes', 'Nike', 44.99, 100, '2024-01-25', '35'),
('b4025876-409a-4dcb-9b2b-40bcd5cead33', 'e74124a9-e82d-44ff-b8e2-1ed78ccee264', 'Adidas Pureboost', 'Stylish women''s shoes', 'Adidas', 45.99, 80, '2024-03-12', '36'),
('6c73a02e-8261-4378-9904-def1f1e247e8', 'e74124a9-e82d-44ff-b8e2-1ed78ccee264', 'Puma RS-X', 'Casual women''s shoes', 'Puma', 43.99, 60, '2024-02-14', '37'),
('a232aee4-7a2b-474a-9550-f2da5777610c', 'e74124a9-e82d-44ff-b8e2-1ed78ccee264', 'Under Armour Speedform', 'Sporty women''s shoes', 'Under Armour', 42.99, 90, '2024-04-17', '38'),
('0e17153e-7f2c-4be1-b8d3-1372b1a56f97', 'e74124a9-e82d-44ff-b8e2-1ed78ccee264', 'Reebok Zig Kinetica', 'Elegant women''s shoes', 'Reebok', 46.99, 50, '2024-06-21', '39'),

('1e8228f6-c8f8-446f-a1af-3dc06d70a615', 'aea61a5a-4f39-4e46-85f9-aee374eb3716', 'Nike Revolution', 'Comfortable kids'' shoes', 'Nike', 34.99, 100, '2024-04-10', '30'),
('6256286b-d1f1-4ee3-bd14-f12625e45822', 'aea61a5a-4f39-4e46-85f9-aee374eb3716', 'Adidas Duramo', 'Stylish kids'' shoes', 'Adidas', 35.99, 80, '2024-02-23', '31'),
('ceb00eab-1960-4e30-8493-e8c7ee0055a0', 'aea61a5a-4f39-4e46-85f9-aee374eb3716', 'Puma Flyer', 'Casual kids'' shoes', 'Puma', 33.99, 60, '2024-01-30', '32'),
('aa430195-4eb5-42b0-94ae-1dea5ed85001', 'aea61a5a-4f39-4e46-85f9-aee374eb3716', 'Under Armour Charged', 'Sporty kids'' shoes', 'Under Armour', 32.99, 90, '2024-05-12', '33'),
('79976f10-1e06-4ebe-814c-7580a99ef18e', 'aea61a5a-4f39-4e46-85f9-aee374eb3716', 'Reebok Lite', 'Elegant kids'' shoes', 'Reebok', 36.99, 50, '2024-03-25', '34'),

('09e68f11-111a-4240-8ee8-a88a1cfffa8e', '32974795-e5a8-4df7-b900-a6a320309909', 'Spalding NBA Ball', 'Basketball 1', 'Spalding', 14.99, 100, '2024-01-15', 'M'),
('3e96daba-aa8e-4970-a991-7d0625f689f8', '32974795-e5a8-4df7-b900-a6a320309909', 'Wilson Evolution Ball', 'Basketball 2', 'Wilson', 15.99, 80, '2024-02-14', 'L'),
('489025b7-eb08-47e3-892d-38a211a15580', '32974795-e5a8-4df7-b900-a6a320309909', 'Molten GG7X Ball', 'Basketball 3', 'Molten', 16.99, 60, '2024-03-16', 'S'),
('e0039bc8-f6f3-414c-acaa-cd84a9ceca19', '32974795-e5a8-4df7-b900-a6a320309909', 'Rawlings Contour Ball', 'Basketball 4', 'Rawlings', 13.99, 90, '2024-04-21', 'M'),
('12f09310-ebbe-463c-90b5-5261b9d5eda9', '32974795-e5a8-4df7-b900-a6a320309909', 'Baden Elite Ball', 'Basketball 5', 'Baden', 17.99, 50, '2024-05-11', 'L'),

('4dc69a7b-6fab-4095-b95f-533294112983', 'ba1e6e65-2faa-4541-aca0-976bd8d20918', 'Nike Swoosh Band', 'Wristband 1', 'Nike', 4.99, 100, '2024-06-23', 'M'),
('693f4e5b-c112-4fc5-acb9-fa64c521c8fc', 'ba1e6e65-2faa-4541-aca0-976bd8d20918', 'Adidas Performance Band', 'Wristband 2', 'Adidas', 5.99, 80, '2024-07-05', 'L'),
('e139fc61-401b-4423-9f75-badd567f76ac', 'ba1e6e65-2faa-4541-aca0-976bd8d20918', 'Puma Sport Band', 'Wristband 3', 'Puma', 6.99, 60, '2024-03-12', 'S'),
('1b778473-7441-46a0-a9f1-4e83d47dadac', 'ba1e6e65-2faa-4541-aca0-976bd8d20918', 'Under Armour Logo Band', 'Wristband 4', 'Under Armour', 3.99, 90, '2024-04-30', 'M'),
